,doc_id,doc_text
0,1,What is the step by step guide to invest in share market in india?
1,2,What is the step by step guide to invest in share market?
2,3,What is the story of Kohinoor (Koh-i-Noor) Diamond?
3,4,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?
4,5,How can I increase the speed of my internet connection while using a VPN?
5,6,How can Internet speed be increased by hacking through DNS?
6,7,Why am I mentally very lonely? How can I solve it?
7,8,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?"
8,9,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?"
9,10,Which fish would survive in salt water?
10,11,Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?
11,12,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?"
12,13,Should I buy tiago?
13,14,What keeps childern active and far from phone and video games?
14,15,How can I be a good geologist?
15,16,What should I do to be a great geologist?
16,17,When do you use シ instead of し?
17,18,"When do you use ""&"" instead of ""and""?"
18,19,Motorola (company): Can I hack my Charter Motorolla DCX3400?
19,20,How do I hack Motorola DCX3400 for free internet?
20,21,Method to find separation of slits using fresnel biprism?
21,22,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?
22,23,How do I read and find my YouTube comments?
23,24,How can I see all my Youtube comments?
24,25,What can make Physics easy to learn?
25,26,How can you make physics easy to learn?
26,27,What was your first sexual experience like?
27,28,What was your first sexual experience?
28,29,"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?"
29,30,What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?
30,31,What would a Trump presidency mean for current international master’s students on an F1 visa?
31,32,How will a Trump presidency affect the students presently in US or planning to study in US?
32,33,What does manipulation mean?
33,34,What does manipulation means?
34,35,Why do girls want to be friends with the guy they reject?
35,36,How do guys feel after rejecting a girl?
36,37,Why are so many Quora users posting questions that are readily answered on Google?
37,38,Why do people ask Quora questions which can be answered easily by Google?
38,39,Which is the best digital marketing institution in banglore?
39,40,Which is the best digital marketing institute in Pune?
40,41,Why do rockets look white?
41,42,Why are rockets and boosters painted white?
42,43,What's causing someone to be jealous?
43,44,What can I do to avoid being jealous of someone?
44,45,What are the questions should not ask on Quora?
45,47,How much is 30 kV in HP?
46,48,Where can I find a conversion chart for CC to horsepower?
47,49,What does it mean that every time I look at the clock the numbers are the same?
48,50,How many times a day do a clock’s hands overlap?
49,51,What are some tips on making it through the job interview process at Medicines?
50,52,What are some tips on making it through the job interview process at Foundation Medicine?
51,53,What is web application?
52,54,What is the web application framework?
53,55,Does society place too much importance on sports?
54,56,How do sports contribute to the society?
55,57,What is best way to make money online?
56,58,What is best way to ask for money online?
57,59,How should I prepare for CA final law?
58,60,How one should know that he/she completely prepare for CA final exam?
59,61,What's one thing you would like to do better?
60,62,What's one thing you do despite knowing better?
61,63,What are some special cares for someone with a nose that gets stuffy during the night?
62,64,How can I keep my nose from getting stuffy at night?
63,65,What Game of Thrones villain would be the most likely to give you mercy?
64,66,What Game of Thrones villain would you most like to be at the mercy of?
65,67,"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?"
66,68,How is the average speed of gas molecules determined?
67,69,What is the best travel website in spain?
68,70,What is the best travel website?
69,71,Why do some people think Obama will try to take their guns away?
70,72,Has there been a gun control initiative to take away guns people already own?
71,73,I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?
72,74,I am a 19 year old guy. How can I become a billionaire in the next 10 years?
73,75,"When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?"
74,76,My girlfriend said that we should end this because she is confused about her feelings for me. I wished her well and disconnected. Should I call her and ask her if she wants to get back together?
75,77,How do we prepare for UPSC?
76,78,How do I prepare for civil service?
77,79,What is the stall speed and AOA of an f-14 with wings fully swept back?
78,80,"Why did aircraft stop using variable-sweep wings, like those on an F-14?"
79,81,Why do Slavs squat?
80,82,Will squats make my legs thicker?
81,83,When can I expect my Cognizant confirmation mail?
82,84,When can I expect Cognizant confirmation mail?
83,85,"Can I make 50,000 a month by day trading?"
84,86,"Can I make 30,000 a month by day trading?"
85,87,Is being a good kid and not being a rebel worth it in the long run?
86,88,Is being bored good for a kid?
87,89,What universities does Rexnord recruit new grads from? What majors are they looking for?
88,90,What universities does B&G Foods recruit new grads from? What majors are they looking for?
89,91,What is the quickest way to increase Instagram followers?
90,92,How can we increase our number of Instagram followers?
91,93,How did Darth Vader fought Darth Maul in Star Wars Legends?
92,94,Does Quora have a character limit for profile descriptions?
93,95,"What are the stages of breaking up between couple? I mean, what happens after the breaking up emotionally whether its a male or female?"
94,96,"Who is affected more by a breakup, the boy or the girl?"
95,97,What are some examples of products that can be make from crude oil?
96,98,What are some of the products made from crude oil?
97,99,How do I make friends.
98,100,How to make friends ?
99,101,Is Career Launcher good for RBI Grade B preparation?
100,102,How is career launcher online program for RBI Grade B?
101,103,"Will a Blu Ray play on a regular DVD player? If so, how?"
102,104,How can you play a Blu Ray DVD on a regular DVD player?
103,105,Nd she is always sad?
104,106,Aerodynamically what happens when propellor rotates?
105,107,What is the best/most memorable thing you've ever eaten and why?
106,108,What is the most delicious dish you've ever eaten and why?
107,109,How GST affects the CAs and tax officers?
108,110,Why can't I do my homework?
109,111,How difficult is it get into RSI?
110,112,Do you apply for programs like RSI when you're a rising senior?
111,113,Who is israil friend?
112,114,Is my boyfriend lying about his true feelings for his friend and is he secretly attracted to her?
113,115,What are some good rap songs to dance to?
114,116,What are some of the best rap songs?
115,117,I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?
116,118,I can't remember my Gmail password or my recovery email. How can I recover my e-mail?
117,119,What are the best ways to learn French?
118,120,How do I learn french genders?
119,121,How do I download content from a kickass torrent without registration?
120,122,Is Kickass Torrents trustworthy?
121,123,Is it normal to have a dark ring around the iris of my eye?
122,124,What causes a dark ring around the iris? How should it be treated?
123,125,How is the new Harry Potter book 'Harry Potter and the Cursed Child'?
124,126,How bad is the new book by J.K Rowling?
125,127,Why do I always get depressed?
126,128,Why do I always get depressed in the evening?
127,129,Where can I find a European family office database?
128,130,Where do I find a U.S. family office database?
129,131,What is Java programming? How To Learn Java Programming Language ?
130,132,How do I learn a computer language like java?
131,133,What is the best book ever made?
132,134,What is the most important book you have ever read?
133,135,Can we ever store energy produced in lightning?
134,136,Is it possible to store the energy of lightning?
135,137,What is your review of Performance Testing?
136,138,What is performance testing?
137,139,At what cost does so much privacy as in Germany come? What else is lost to gain so much privacy?
138,140,Are there any people who genuinely enjoy salad with no dressing?
139,141,What are the types of immunity?
140,142,What are the different types of immunity in our body?
141,143,What is a narcissistic personality disorder?
142,144,What is narcissistic personality disorder?
143,145,How I can speak English fluently?
144,146,How can I learn to speak English fluently?
145,147,How helpful is QuickBooks' auto data recovery support phone number to recover your corrupted data files?
146,148,What is the quickbooks customer support phone number USA?
147,149,Who is the richest gambler of all time and how can I reach his level?
148,150,Who is the richest gambler of all time and how can I reach his level as a gambler?
149,151,If I fire a bullet backward from an aircraft going faster than the bullet; will the bullet be going backwards?
150,152,"Do bullets travel faster than the speed of sound when shot from a gun? If not, is it possible? If they do, what gun and how much devastation occurs?"
151,153,How do I prevent breast cancer?
152,154,Is breast cancer preventable?
153,155,How do I log out of my Gmail account on my friend's phone?
154,156,How can I know who logged in to my Gmail account? (by telling his IP address or device name)?
155,157,How can I make money through the Internet?
156,158,"What are some different ways to make money online, excluding selling things?"
157,159,What is purpose of life?
158,160,What's the purpose of life? What is life actually about?
159,161,When will the BJP government strip all the Muslims and the Christians of the Indian citizenship and put them on boats like the Rohingya's of Burma?
160,162,"Why India does not apply the ""Burma-Rohingya model"" to deport illegal Bangladeshis?"
161,163,What is the right etiquette for wishing a Jehovah Witness happy birthday?
162,164,How important is it to be the first person to wish someone a happy birthday?
163,165,"If someone wants to open a commercial FM radio station in any city of India, how much does it cost and what is the procedure?"
164,166,"I want to make a travel commercial/clip video HD , For India and New Zealand. How much will it cost?"
165,167,Why do Swiss despise Asians?
166,168,Why do technical employees despise sales people so much?
167,169,What are some of the high salary income jobs in the field of biotechnology?
168,170,What are some high paying jobs for a fresher with an M.Tech in biotechnology?
169,171,How can I increase my height after 21 also?
170,172,Can height increase after 25?
171,173,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Kamchatca earthquakes in 1952?"
172,174,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Valparaiso earthquake in 1822?"
173,175,What is the difference between sincerity and fairness?
174,176,What's the difference between honest and sincere?
175,177,Which is the best gaming laptop under 60k INR?
176,178,Which is the best gaming laptop under Rs 60000?
177,179,What is your review of The Next Warrior: Proving Grounds - Part 9?
178,180,What is your review of The Next Warrior: Proving Grounds - Part 5?
179,181,What is the best reference book for physics class 11th?
180,182,"Which book should I choose for reference for physics and chemistry (class 11, CBSE board)?"
181,183,"National Institute of Technology, Kurukshetra: How is the social life at NITK, Surathkal?"
182,184,"National Institute of Technology Karnataka (NITK) , Surathkal: To the graduating batch: What lessons would you want to give to your juniors before you leave?"
183,185,What are some of the best romantic movies in English?
184,186,What is the best romantic movie you have ever seen?
185,188,What causes nightmares that seem real?
186,189,What is abstract expressionism in painting?
187,190,What are some of the major influences of abstract expressionism?
188,191,How does 3D printing work?
189,192,How do 3D printing work?
190,193,What was it like to attend Caltech with Jeremy Ehrhardt?
191,194,Who are some notable folks who attended Caltech?
192,195,Why did harry become a horcrux?
193,196,What is a Horcrux?
194,197,What are the best associate product manager (APM) programs that someone in their early 20s can join to learn product management and have a rewarding career in the company?
195,198,What are the general requirement to become a Product Manager or a Program Manager in a product based software company?
196,199,Why is the number for Skype at 1-855-425-3768 always busy?
197,200,How could I get Skype to work on an android 4.1.1 phone?
198,201,Will there really be any war between India and Pakistan over the Uri attack? What will be its effects?
199,202,Will there be a nuclear war between India and Pakistan?
200,203,Did Ronald Reagan have a mannerism in his speech?
201,204,How did Ronald Reagan react to 9/11?
202,205,What were the war strategies of the Union and the Confederates during the Civil War?
203,206,How could the Confederates have possibly defeated Union forces at Gettysburg during the American Civil War?
204,207,Which is the best fiction novel of 2016?
205,208,Which are some of the best fiction novels?
206,209,Can I recover my email if I forgot the password?
207,210,What should I do if I forgot my email password?
208,211,Will the recent demonetisation results in higher GDP? If so how much?
209,212,How demonetisation could affect the GDP of India in both short run and long run?
210,213,Have you ever heard of travel hacking?
211,214,Can WhatsApp be hacked?
212,215,What's the difference between love and pity?
213,216,What is the difference between love and pity?
214,217,How competitive is the hiring process at Republic Bank?
215,218,How competitive is the hiring process at S & T Bank?
216,219,How Google helps in spam ranking adjustment of the search results?
217,220,"What is the distribution of traffic between Google organic search results? e.g. #1 vs. #2 in rankings, first page vs. second page"
218,221,Where can I watch gonulcelen with english subtitles?
219,222,Where can I watch sarrainodu with subtitles?
220,223,Is USA the most powerful country of the world?
221,224,Why is the USA the most powerful country of the world?
222,225,How do you obtain an instant ulcer pain relief?
223,226,What is better for a low back pain: heat or ice?
224,227,What do you think China food?
225,228,How do you think of Chinese food?
226,229,What does taking advantage of someone mean?
227,230,Is it worse to take advantage of someone or be materialistic?
228,231,Why do we cry when we are happy and when we are sad?
229,232,Why do we cry?
230,233,Why do some girls like to stick their their tongues out when taking pictures?
231,234,Why do teen girls (and women in general) allow their boyfriends to take naked pictures of them in this day and (digital) age?
232,235,"Did you find the ending of the novel ""1984"" depressing?"
233,236,"How do Winston and Julia differ in the novel ""1984""? How are they similar?"
234,237,What are some mind-blowing computer tools that exist that most people don't know about?
235,238,What are some mind-blowing technologies that exist that most people don't know about?
236,239,Should the toothbrush be wet or dry before applying the toothpaste?
237,240,What is the cheapest toothpaste?
238,241,Why my question was marked as needing imrovement?
239,242,How can I ask a question without getting marked as ‘need to improve’?
240,243,What is the difference between a neutral state and a buffer state?
241,244,"If every state of the USA declared war against each other, which would win?"
242,245,What mineral holds the highest electrical charge?
243,246,What mineral can hold the greatest electrical charge?
244,247,What is the greatest mystery in the universe?
245,248,What is the greatest mystery of all time?
246,249,What is the alternative to machine learning?
247,250,How do I over-sample a multi-class imbalance data set?
248,251,"Why does China block sanctions at the UN against the Jaish-e-Mohammad (JeM) chief, Masood Azhar?"
249,252,Why does China support Masood Azhar?
250,253,What is the mean of future budget?
251,254,What is the meaning of the future?
252,255,Can excessive amounts of Vitamin C cause me to have a miscarriage?
253,256,How can Vitamin C cause a miscarriage?
254,257,What is it like to work in Asahi India Glass? What will be the pay scale after one or two years?
255,258,When will we get the Call Letter after we get the Letter of Intent in Asahi India Glass recruitment?
256,259,How do I access Torbox in India?
257,260,How do I access Google.com from India?
258,261,What are some yakshini mantras?
259,262,What is a Yantra & Mantra?
260,263,Was six party talks successful?
261,264,Which course is better in NICMAR?
262,265,How do I register my domain site email?
263,266,How do you register a .an domain?
264,267,Is it normal for older men to be attracted to young women?
265,268,Why am I attracted to older men?
266,269,What is the strongest structure or strongest shape under compression?
267,270,What is the strongest Kevlar cord?
268,271,Who are the Rohingya Muslims?
269,272,Who are the Rohingya people?
270,274,Does it matter whether humanity is evil or not?
271,275,Are exocytosis and endocytosis examples of active or passive transport?
272,276,What are examples of passive transport in cells?
273,277,How i get hair on bald head?
274,278,"If I shave my head for 2 years as am getting bald and then grew my hair, will the hair will be same as when I intially have? Or I loose more hair?"
275,279,What is the ideal life after retirement?
276,280,What's life after retirement?
277,281,What is our stance against Pakistan?
278,282,What is the stance of Pakistan in the possession of weapons of mass destruction by North korea? Does it support DPRK or is it against DPRK?
279,283,What are good websites for escorts?
280,284,How do I find a good escort?
281,285,Which one is better polo diesel or grand i10 petrol?
282,286,What is the best diet for a growing decathlete?
283,287,Does a black hole have mass?
284,288,Does a black hole have a finite mass?
285,289,"Is Morgan Freeman correct when he says the only way to stop racism, is to stop talking about it?"
286,290,What are your views about this Morgan Freeman quote about Racism?
287,291,Does Fab currently offer new employees stock options or RSUs?
288,292,Does Uber currently offer new employees stock options or RSUs?
289,293,How would you review the site Waveclues?
290,294,Is there a good pay for reviews site out there?
291,295,In how many ways can we distribute 10 identical looking pencils to 4 students so that each student gets at least one pencil?
